x, y
-2.4875000000E+00, -2.4875000000E+00 
-2.4625000000E+00, -2.4875000000E+00 
-2.4375000000E+00, -2.4875000000E+00 
-2.4125000000E+00, -2.4875000000E+00 
-2.3875000000E+00, -2.4875000000E+00 
-2.3625000000E+00, -2.4875000000E+00 
-2.3375000000E+00, -2.4875000000E+00 
-2.3125000000E+00, -2.4875000000E+00 
-2.2875000000E+00, -2.4875000000E+00 
-2.2625000000E+00, -2.4875000000E+00 
-2.2375000000E+00, -2.4875000000E+00 
-2.2125000000E+00, -2.4875000000E+00 
-2.1875000000E+00, -2.4875000000E+00 
-2.1625000000E+00, -2.4875000000E+00 
-2.1375000000E+00, -2.4875000000E+00 
-2.1125000000E+00, -2.4875000000E+00 
-2.0875000000E+00, -2.4875000000E+00 
-2.0625000000E+00, -2.4875000000E+00 
-2.0375000000E+00, -2.4875000000E+00 
-2.0125000000E+00, -2.4875000000E+00 
-1.9875000000E+00, -2.4875000000E+00 
-1.9625000000E+00, -2.4875000000E+00 
-1.9375000000E+00, -2.4875000000E+00 
-1.9125000000E+00, -2.4875000000E+00 
-1.8875000000E+00, -2.4875000000E+00 
-1.8625000000E+00, -2.4875000000E+00 
-1.8375000000E+00, -2.4875000000E+00 
-1.8125000000E+00, -2.4875000000E+00 
-1.7875000000E+00, -2.4875000000E+00 
-1.7625000000E+00, -2.4875000000E+00 
-1.7375000000E+00, -2.4875000000E+00 
-1.7125000000E+00, -2.4875000000E+00 
-1.6875000000E+00, -2.4875000000E+00 
-1.6625000000E+00, -2.4875000000E+00 
-1.6375000000E+00, -2.4875000000E+00 
-1.6125000000E+00, -2.4875000000E+00 
-1.5875000000E+00, -2.4875000000E+00 
-1.5625000000E+00, -2.4875000000E+00 
-1.5375000000E+00, -2.4875000000E+00 
-1.5125000000E+00, -2.4875000000E+00 
-1.4875000000E+00, -2.4875000000E+00 
-1.4625000000E+00, -2.4875000000E+00 
-1.4375000000E+00, -2.4875000000E+00 
-1.4125000000E+00, -2.4875000000E+00 
-1.3875000000E+00, -2.4875000000E+00 
